AreaType;AreaName;PartyID;PartyName;Pos;ProvinceID;ProvinceName;RowID;_1994;_1999;_2004;_2009;_2014
National;National;7;ANC;1;;;0;252;266;279;264;249
National;National;52;DA;2;;;0;7;38;50;67;89
National;National;945;EFF;3;;;0;-;-;-;-;25
National;National;3;IFP;4;;;0;43;34;28;18;10
National;National;591;NFP;5;;;0;-;-;-;-;6
National;National;6;UDM;6;;;0;-;14;9;4;4
National;National;4;VF PLUS;7;;;0;9;3;4;4;4
National;National;499;COPE;8;;;0;-;-;-;30;3
National;National;18;ACDP;9;;;0;2;6;7;3;3
National;National;330;AIC;10;;;0;-;-;-;-;3
National;National;938;AGANG SA;11;;;0;-;-;-;-;2
National;National;8;PAC;12;;;0;5;3;3;1;1
National;National;450;APC;13;;;0;-;-;-;1;1
National;National;2;UCDP;14;;;0;-;3;3;2;-
National;National;31;MF;15;;;0;-;1;2;1;-
National;National;17;AZAPO;16;;;0;-;1;1;1;-
National;National;10;KISS;17;;;0;-;-;-;-;-
National;National;466;PAL;18;;;0;-;-;-;-;-
National;National;447;AlJAh;19;;;0;-;-;-;-;-
National;National;613;UBUNTU;20;;;0;-;-;-;-;-
National;National;647;FINLA;21;;;0;-;-;-;-;-
National;National;651;BRA;22;;;0;-;-;-;-;-
National;National;917;FN;23;;;0;-;-;-;-;-
National;National;943;UNICO;24;;;0;-;-;-;-;-
National;National;503;PAM;25;;;0;-;-;-;-;-
National;National;957;PA;26;;;0;-;-;-;-;-
National;National;965;KGM;27;;;0;-;-;-;-;-
National;National;45;ICOSA;28;;;0;-;-;-;-;-
National;National;249;ID;29;;;0;-;-;7;4;-
